,name,birth_year,weight,height,nationality,cyclist_id
213,Davis  Phinney,1959.0,,,United States,davis-phinney
214,Stefano Della Santa,1967.0,,,Italy,stefano-della-santa
215,Dietrich  Thurau,1954.0,,,Germany,dietrich-thurau
216,Arnaud  Gérard,1984.0,70.0,184.0,France,arnaud-gerard
217,Christophe  Lavainne,1963.0,,,France,christophe-lavainne
218,Gonzalo  Rabuñal,1984.0,65.0,180.0,Spain,gonzalo-rabunal-rios
219,Thomas  Bonnet,1998.0,,175.0,France,thomas-bonnet
220,Jean-Jacques  Philipp,1961.0,,,France,jean-jacques-philipp
221,Nico  Verhoeven,1961.0,,,Netherlands,nico-verhoeven
222,Laurent  Chotard,1976.0,,,France,laurent-chotard
223,Frédéric  Garnier,1964.0,,,France,frederic-garnier
224,Isaac  Cantón,1996.0,65.0,180.0,Spain,isaac-canton
225,Alain  Vasseur,1948.0,67.0,175.0,France,alain-vasseur
226,Jean-Pierre  Monseré,1948.0,66.0,178.0,Belgium,jean-pierre-monsere
227,Steven  Caethoven,1981.0,67.0,176.0,Belgium,steven-caethoven
228,José María  Jiménez,1971.0,70.0,187.0,Spain,jose-maria-jimenez
229,Mattia  Cattaneo,1990.0,67.0,184.0,Italy,mattia-cattaneo
230,James  Knox,1995.0,58.0,173.0,Great Britain,james-knox
231,Geert  Malfait,1953.0,,,Belgium,geert-malfait
232,David  Gaudu,1996.0,53.0,172.0,France,david-gaudu
233,Michele  Laddomada,1972.0,,,Italy,michele-laddomada
234,Bjarne  Riis,1964.0,71.0,184.0,Denmark,bjarne-riis
235,José Alberto  Benítez,1981.0,66.0,180.0,Spain,jose-alberto-benitez-roman
236,Patrick  Busolini,1954.0,,,France,patrick-busolini2
237,Roberto  Sgambelluri,1974.0,63.0,175.0,Italy,roberto-sgambelluri
238,Benno  Wiss,1962.0,,,Switzerland,benno-wiss
239,Michal  Hrazdira,1977.0,77.0,189.0,Czech Republic,michal-hrazdira
240,Robert  Hunter,1977.0,72.0,178.0,South Africa,robert-hunter
241,Raffaello  Bonusi,1992.0,,,Italy,raffaello-bonusi
242,Harald  Morscher,1972.0,,,Austria,harald-morscher
243,Thomas  Champion,1999.0,70.0,193.0,France,thomas-champion
244,Enrico  Franzoi,1982.0,70.0,178.0,Italy,enrico-franzoi
245,Mateusz  Mróz,1980.0,,,Poland,mateusz-mroz
246,Manuel Antonio Leal  Cardoso,1983.0,70.0,179.0,Portugal,manuel-cardoso
247,Michele  Rezzani,1975.0,,,Italy,michele-rezzani
248,Andrea  Dolci,1969.0,,,Italy,andrea-dolci
249,Patrick  Hosotte,1957.0,,,France,patrick-hosotte
250,Sebastian  Schwager,1984.0,,,Germany,sebastian-schwager
251,Marco  Fincato,1970.0,,,Italy,marco-fincato
252,Mickaël  Delage,1985.0,70.0,180.0,France,mickael-delage
253,André  Chappuis,1956.0,,,France,andre-chappuis
254,Erich  Spahn,1948.0,,,Switzerland,erich-spahn
255,Wim van de Meulenhof,1966.0,,,Netherlands,wim-van-de-meulenhof
256,Alfons  Scheys,1947.0,,,Belgium,alfons-scheys
257,Bruno  Cenghialta,1962.0,73.0,184.0,Italy,bruno-cenghialta
258,Johan  Bruyneel,1964.0,71.0,182.0,Belgium,johan-bruyneel
259,Martin  Prázdnovský,1975.0,,,Slovakia,martin-prazdnovsky
260,Dorian  Godon,1996.0,73.0,191.0,France,dorian-godon
261,Syver  Wærsted,1996.0,,193.0,Norway,syver-waersted
262,Antonio  Bucciero,1982.0,,,Italy,antonio-bucciero
263,Julien  Stassen,1988.0,66.0,182.0,Belgium,julien-stassen
264,Markus  Hoelgaard,1994.0,74.0,188.0,Norway,markus-hoelgaard
265,Enrique  Martinez,1953.0,,,Spain,enrique-martinez
266,Koen  Vekemans,1966.0,,,Belgium,koen-vekemans
267,Louis  Pfenninger,1944.0,70.0,183.0,Switzerland,louis-pfenninger
268,Mirko  Selvaggi,1985.0,73.0,195.0,Italy,mirko-selvaggi
269,Dag  Selander,1955.0,,,Norway,dag-selander
270,Gianluca  Pierobon,1967.0,,,Italy,gianluca-pierobon
271,Zico  Waeytens,1991.0,67.0,180.0,Belgium,zico-waeytens
272,Twan  Castelijns,1989.0,70.0,180.0,Netherlands,twan-castelijns
273,Roberto  Savoldi,1975.0,,,Italy,roberto-savoldi
274,André  Peirsman,1948.0,,,Belgium,andre-peirsman
275,Anass  Aït El Abdia,1993.0,66.0,180.0,Morocco,anass-ait-el-abdia
276,Dino  Bertolo,1953.0,,,France,dino-bertolo
277,Mattia  Gavazzi,1983.0,70.0,171.0,Italy,mattia-gavazzi
278,David  Kopp,1979.0,68.0,184.0,Germany,david-kopp
279,Simone  Campagnari,1972.0,,,Italy,simone-campagnari
280,Giairo  Ermeti,1981.0,60.0,174.0,Italy,giairo-ermeti
281,Fernando dos Reis Dias  Mendes,1946.0,,,Portugal,fernando-mendes
282,Guillaume  Boivin,1989.0,78.0,182.0,Canada,guillaume-boivin
283,Harry  Steevens,1945.0,73.0,178.0,Netherlands,harry-steevens
284,Ruben Dario  Beltran,1964.0,,,Colombia,ruben-dario-beltran
285,Paul Van Hyfte,1972.0,70.0,177.0,Belgium,paul-van-hyfte
286,Aketza  Peña,1981.0,,,Spain,aketza-pena
287,Tom-Jelte  Slagter,1989.0,57.0,169.0,Netherlands,tom-jelte-slagter
288,Frederik  Rodenberg,1998.0,73.0,190.0,Denmark,frederik-rodenberg
289,Fiorenzo  Favero,1955.0,,,Italy,fiorenzo-favero
290,Michael Van Staeyen,1988.0,62.0,167.0,Belgium,michael-van-staeyen
291,Iñaki  Isasi,1977.0,70.0,181.0,Spain,inaki-isasi-flores
292,Jens  Mouris,1980.0,91.0,198.0,Netherlands,jens-mouris
293,Frans  Verbeeck,1941.0,,,Belgium,frans-verbeeck
294,Dion  Smith,1993.0,67.0,179.0,New Zealand,dion-smith
295,Lennert Van Eetvelt,2001.0,63.0,176.0,Belgium,lennert-van-eetvelt
296,Lars  Boven,2001.0,62.0,172.0,Netherlands,lars-boven
297,José Del Ramo,1960.0,,,Spain,jose-del-ramo
298,Christophe  Laborie,1986.0,67.0,181.0,France,christophe-laborie
299,Karl  Maxon,1959.0,,,United States,karl-maxon
300,Diego  Magoni,1955.0,,,Italy,diego-magoni
301,Dirk  Friel,1970.0,,,United States,dirk-friel
