,name,birth_year,weight,height,nationality,cyclist_id
3479,Ramón  Carretero,1990.0,62.0,176.0,Panama,ramon-carretero
3480,Sergey  Renev,1985.0,68.0,184.0,Kazakhstan,sergey-renev
3481,Carlos Iván  Oyarzún,1981.0,66.0,184.0,Chile,carlos-oyarzun
3482,Shane  Archbold,1989.0,79.0,182.0,New Zealand,shane-archbold
3483,Mario De Clercq,1966.0,66.0,174.0,Belgium,mario-de-clercq
3484,José Antonio  Carrasco,1980.0,,,Spain,jose-antonio-carrasco-ramirez
3485,Adrian  Honkisz,1988.0,61.0,176.0,Poland,adrian-honkisz
3486,Maurits  Lammertink,1990.0,61.0,169.0,Netherlands,maurits-lammertink
3487,Sébastien  Portal,1982.0,,,France,sebastien-portal
3488,Dave  Lloyd,1949.0,76.0,172.0,Great Britain,dave-lloyd
3489,Robert  Retschke,1980.0,66.0,180.0,Germany,robert-retschke
3490,Jefferson Alexander  Cepeda,1998.0,56.0,164.0,Ecuador,jefferson-alexander-cepeda
3491,Sylwester  Szmyd,1978.0,60.0,179.0,Poland,sylwester-szmyd
3492,Steele Von Hoff,1987.0,70.0,180.0,Australia,steele-von-hoff
3493,Simone  Bevilacqua,1997.0,75.0,181.0,Italy,simone-bevilacqua
3494,Kanstantsin  Siutsou,1982.0,68.0,183.0,Belarus,kanstantsin-siutsou
3495,Marco  Coledan,1988.0,83.0,190.0,Italy,marco-coledan
3496,Efraín  Gutiérrez,1980.0,,,Spain,efrain-gutierrez-sanchez
3497,Martin  Havik,1955.0,,,Netherlands,martin-havik
3498,Jonathan  Garcia,1981.0,,,United States,jonathan-garcia
3499,Dominique  Rault,1971.0,,,France,dominique-rault
3500,Dionisio  Galparsoro,1978.0,67.0,178.0,Spain,dionisio-galparsoro
3501,Adam  Blythe,1989.0,68.0,175.0,Great Britain,adam-blythe
3502,Jean-Paul  Hosotte,1955.0,,,France,jean-paul-hosotte
3503,Domenico  Pozzovivo,1982.0,53.0,165.0,Italy,domenico-pozzovivo
3504,Claudio  Torelli,1954.0,,,Italy,claudio-torelli
3505,Adriano  Malori,1988.0,68.0,182.0,Italy,adriano-malori
3506,Andrzej  Sypytkowski,1963.0,76.0,182.0,Poland,andrzej-sypytkowski
3507,Roland  Müller,1973.0,,,Switzerland,roland-muller
3508,Ramón  Garcia,1970.0,,,Spain,ramon-garcia-espana
3509,David  O'Loughlin,1978.0,68.0,180.0,Ireland,david-oloughlin
3510,Miguel María  Lasa,1947.0,68.0,173.0,Spain,miguel-maria-lasa
3511,Hernan  Buenahora,1967.0,,,Colombia,hernan-buenahora
3512,José Luis  Carrasco,1982.0,,,Spain,jose-luis-carrasco-gamiz
3513,Marat  Ganeev,1964.0,,,Russia,marat-ganeev
3514,Maximiliano  Richeze,1983.0,68.0,177.0,Argentina,ariel-maximiliano-richeze
3515,Jean-Pierre  Heynderickx,1965.0,,,Belgium,jean-pierre-heynderickx
3516,Marino  Amadori,1957.0,,,Italy,marino-amadori
3517,Jonathan  Gonzalez,1981.0,,,Spain,jonathan-gonzalez-rios
3518,Łukasz  Bodnar,1982.0,68.0,176.0,Poland,lukasz-bodnar
3519,Vladimir  Duma,1972.0,64.0,174.0,Ukraine,vladimir-duma
3520,Jan  Mattheus,1965.0,,,Belgium,jan-mattheus
3521,Miguel Ángel  Iglesias,1961.0,,,Spain,miguel-angel-iglesias
3522,Maurice  Ballerstedt,2001.0,76.0,185.0,Germany,maurice-ballerstedt
3523,Jaime Tomás  Florit,1967.0,,,Spain,jaime-tomas
3524,René  Grenier,1943.0,,,France,rene-grenier
3525,Vicente  Ballester,1980.0,,,Spain,vicente-ballester
3526,François  Coquery,1948.0,,,France,francois-coquery
3527,Oscar  Onley,2002.0,62.0,173.0,Great Britain,oscar-onley
3528,Ivan  Raimondi,1969.0,,,Italy,ivan-raimondi
3529,Francesco  Frattini,1967.0,60.0,171.0,Italy,francesco-frattini
3530,Steve  Bauer,1959.0,72.0,170.0,Canada,steve-bauer
3531,Martin  Hvastija,1969.0,75.0,184.0,Slovenia,martin-hvastija
3532,Ronan  Pensec,1963.0,,,France,ronan-pensec
3533,Armando  Ceci,1966.0,,,Belgium,armando-ceci
3534,Owain  Doull,1993.0,71.0,181.0,Great Britain,owain-doull
3535,John-Lee  Augustyn,1986.0,65.0,178.0,South Africa,john-lee-augustyn
3536,Willem  Peeters,1953.0,,,Belgium,willem-peeters
3537,Omar  Hernandez,1962.0,,,Colombia,omar-hernandez
3538,Renato  Laghi,1944.0,,,Italy,renato-laghi
3539,Wim  Sels,1967.0,,,Belgium,wim-sels
3540,Tullio  Bertacco,1957.0,,,Italy,tullio-bertacco
3541,Pierre  Latour,1993.0,66.0,181.0,France,pierre-latour
3542,Filippo  Fiorelli,1994.0,,,Italy,filippo-fiorelli
3543,Danilo  Hondo,1974.0,73.0,184.0,Germany,danilo-hondo
3544,Agustín  Peña,1979.0,,,Spain,agustin-gago-pena
3545,Ermano  Capelli,1985.0,78.0,195.0,Italy,ermano-capelli
3546,Nikita  Novikov,1989.0,77.0,187.0,Russia,nikita-novikov
3547,Romain  Costermans,1961.0,,,Belgium,romain-costermans
3548,Davide  Martinelli,1993.0,71.0,186.0,Italy,davide-martinelli
3549,Francisco  Guerreiro,2000.0,60.0,182.0,Portugal,francisco-guerreiro
3550,Paolo  Rosola,1957.0,,,Italy,paolo-rosola
3551,Guy  Nevens,,,,Belgium,nevens-guy
3552,Biniam  Girmay,2000.0,70.0,184.0,Eritrea,biniam-girmay
3553,Fabio  Roscioli,1965.0,,,Italy,fabio-roscioli
3554,Olivier  Bonnaire,1983.0,67.0,178.0,France,olivier-bonnaire
3555,Mauro Da Dalto,1981.0,72.0,181.0,Italy,mauro-da-dalto
3556,Bas  Tietema,1995.0,74.0,185.0,Netherlands,bas-tietema
3557,Bastien  Tronchon,2002.0,72.0,185.0,France,bastien-tronchon
3558,Dmitri  Konychev,1966.0,77.0,186.0,Russia,dmitri-konychev
3559,Hernan Dario  Muñoz,1973.0,,,Colombia,hernan-dario-munoz
3560,Bram de Groot,1974.0,65.0,173.0,Netherlands,bram-de-groot
3561,Alexei  Kuznetsov,1976.0,,,Uzbekistan,alexei-kuznetsov
3562,Tuur  Dens,2000.0,81.0,184.0,Belgium,tuur-dens
3563,Christian  Wegmann,1976.0,,,Germany,christian-wegmann
3564,Alf  Segersall,1956.0,65.0,175.0,Sweden,alf-segersall
3565,Dominique  Rollin,1982.0,83.0,188.0,Canada,dominique-rollin
3566,Émilien-Benoît  Bergès,1983.0,,,France,emilien-benoit-berges
3567,Nicolas  Dumont,1973.0,,,France,nicolas-dumont
3568,Joaquim  Agostinho,1943.0,,,Portugal,joaquim-agostinho
3569,Marc Van Orsouw,1964.0,,,Netherlands,marc-van-orsouw
3570,Rik Van Linden,1949.0,,,Belgium,rik-van-linden
3571,Rudy  Barbier,1992.0,79.0,179.0,France,rudy-barbier
3572,Ferdinand  Julien,1946.0,,,France,ferdinand-julien
3573,Malte  Urban,1974.0,,,Germany,malte-urban
3574,Matteo  Frutti,1975.0,,,Italy,matteo-frutti
3575,David  Clinger,1977.0,77.0,183.0,United States,david-clinger
3576,Robert  Förster,1978.0,83.0,177.0,Germany,robert-forster
3577,Alexandre  Zinoview,1961.0,,,Ukraine,alexandre-zinoview
3578,Patrick  Serra,1962.0,,,Sweden,patrick-serra
3579,Anthony  Delaplace,1989.0,65.0,181.0,France,anthony-delaplace
3580,Gilles  Sanders,1964.0,,,France,gilles-sanders
3581,Angélo  Tulik,1990.0,64.0,176.0,France,angelo-tulik
3582,Bernard  Vallet,1954.0,,,France,bernard-vallet
3583,Mattia  Viel,1995.0,72.0,180.0,Italy,mattia-viel
3584,Stan Van Tricht,1999.0,64.0,174.0,Belgium,stan-van-tricht
3585,Oleg  Zhukov,1976.0,,,Russia,oleg-joukov
3586,Flip  Vandeghinste,1956.0,,,Belgium,flip-vandeghinste
3587,Andris  Naudužs,1975.0,78.0,183.0,Latvia,andris-nauduzs
3588,Walter  Dalgal,1954.0,,,Italy,walter-dalgal
3589,Daniel  Willems,1956.0,,,Belgium,daniel-willems
3590,Herbert  Niederberger,1965.0,,,Switzerland,herbert-niederberger
3591,Sven Erik  Bystrøm,1992.0,73.0,188.0,Norway,sven-erik-bystrom
3592,Jean-Jacques  Fussien,1952.0,,,France,jean-jacques-fussien
3593,Edi  Kagi,1960.0,,,Switzerland,edi-kagi
3594,Thimo  Willems,1996.0,67.0,175.0,Belgium,thimo-willems
3595,Ruslan  Gryschenko,1981.0,,,Ukraine,ruslan-gryschenko
3596,Luis Orán  Castañeda,1977.0,,,Colombia,luis-oran-castaneda
3597,Youcef  Reguigui,1990.0,69.0,172.0,Algeria,youcef-reguigui
3598,Bruno  Geuens,1963.0,,,Belgium,bruno-geuens
3599,Julian  Alaphilippe,1992.0,62.0,173.0,France,julian-alaphilippe
3600,Jack Van Hooydonck,1959.0,,,Belgium,jack-van-hooydonck
3601,Daniel Van Ryckeghem,1945.0,,,Belgium,daniel-van-ryckeghem
3602,Artur  Ershov,1990.0,70.0,185.0,Russia,artur-ershov
3603,Giancarlo  Perini,1959.0,,,Italy,giancarlo-perini
3604,Gerard  Moneyron,1948.0,,,France,gerard-moneyron
3605,Attila  Valter,1998.0,65.0,185.0,Hungary,attila-valter
3606,Daniel  Schnider,1973.0,65.0,180.0,Switzerland,daniel-schnider
3607,Walter  Boucquet,1941.0,,,Belgium,walter-boucquet
3608,Karl  Pauwels,1971.0,,,Belgium,karl-pauwels
3609,Jens  Voigt,1971.0,76.0,190.0,Germany,jens-voigt
3610,Oleg  Pankov,1967.0,72.0,175.0,Ukraine,oleg-pankov
3611,Marco  Cattaneo,1957.0,,,Italy,marco-cattaneo-2
3612,Hendrik  Devos,1955.0,,,Belgium,hendrik-devos
3613,Joël  Gallopin,1953.0,,,France,joel-gallopin
3614,Francis De Ridder,1959.0,,,Netherlands,francis-de-ridder
3615,Massimo  Apollonio,1970.0,70.0,176.0,Italy,massimo-apollonio
3616,Axel  Zingle,1998.0,67.0,173.0,France,axel-zingle
3617,Ben  Hermans,1986.0,72.0,186.0,Belgium,ben-hermans
3618,Torjus  Sleen,1997.0,65.0,170.0,Norway,torjus-sleen
3619,Sven  Teutenberg,1972.0,66.0,173.0,Germany,sven-teutenberg
3620,Barnabás  Peák,1998.0,74.0,183.0,Hungary,barnabas-peak
3621,Brian  Smith,1967.0,,,Great Britain,brian-smith
3622,Marco  Magnani,1974.0,64.0,177.0,Italy,marco-magnani
3623,Fabien  Sanchez,1983.0,75.0,188.0,France,fabien-sanchez
3624,Jonas Iversby  Hvideberg,1999.0,,185.0,Norway,jonas-iversby-hvideberg
3625,Sammie  Moreels,1965.0,,,Belgium,sammie-moreels
3626,Manrico  Ronchiato,1960.0,,,Italy,manrico-ronchiato
3627,Milan  Kadlec,1974.0,70.0,179.0,Czech Republic,milan-kadlec
3628,Nico  Denz,1994.0,71.0,183.0,Germany,nico-denz
3629,Dimitri  Claeys,1987.0,77.0,191.0,Belgium,dimitri-claeys
3630,Wladimir  Belli,1970.0,64.0,173.0,Italy,wladimir-belli
3631,Salvatore  Puccio,1989.0,68.0,182.0,Italy,salvatore-puccio
3632,Stéphane  Krafft,1979.0,67.0,181.0,France,stephane-krafft
3633,Łukasz  Wiśniowski,1991.0,78.0,191.0,Poland,lukasz-wisniowski
3634,Javier  Romo,1999.0,70.0,184.0,Spain,javier-romo
3635,Antonio  Araujo,1967.0,,,Portugal,antonio-araujo
3636,Eduard  Prades,1987.0,63.0,178.0,Spain,eduard-prades
3637,Mike  Gutmann,1962.0,,,Switzerland,mike-gutmann
3638,Federico  Vitali,1982.0,,,Italy,federico-vitali
3639,Arthur  Vichot,1988.0,74.0,184.0,France,arthur-vichot
3640,Martin Urianstad Bugge,1999.0,,,Norway,martin-urianstad
3641,Matthieu  Sprick,1981.0,71.0,190.0,France,matthieu-sprick
3642,Francisco  Lopez,1958.0,,,Spain,francisco-lopez-393
3643,Rafael  Diaz,1972.0,55.0,164.0,Spain,rafael-diaz
3644,Hiroki  Nishimura,1994.0,59.0,172.0,Japan,hiroki-nishimura
3645,Asbjørn  Hellemose,1999.0,65.0,192.0,Denmark,asbjorn-hellemose
3646,Fabrizio  Nespoli,1965.0,,,Italy,fabrizio-nespoli
3647,Faat  Zakirov,1974.0,,,Russia,faat-zakirov
3648,Franklin  Chacón,1998.0,,,Venezuela,franklin-chacon
3649,Flavio  Chesini,1962.0,,,Italy,flavio-chesini
3650,Hennie  Rovers,1958.0,,,Netherlands,hennie-rovers
3651,Pablo  Urtasun,1980.0,69.0,176.0,Spain,pablo-urtasun
3652,Paolo  Bailetti,1980.0,,,Italy,paolo-bailetti
3653,René  Savary,1949.0,,,Switzerland,rene-savary
3654,Robinson  Chalapud,1984.0,63.0,175.0,Colombia,robinson-chalapud
3655,Jacques  Hanegraaf,1960.0,,,Netherlands,jacques-hanegraaf
3656,Walter  Pedroni,1970.0,,,Italy,walter-pedroni
3657,Marcel  Kittel,1988.0,82.0,188.0,Germany,marcel-kittel
3658,Guido  Wirz,1972.0,,,Switzerland,guido-wirz
3659,Andrea  Garosio,1993.0,58.0,175.0,Italy,andrea-garosio
3660,Martin  Elmiger,1978.0,73.0,182.0,Switzerland,martin-elmiger
3661,Serge  Baguet,1969.0,67.0,177.0,Belgium,serge-baguet
3662,Jaime  Castrillo,1996.0,65.0,186.0,Spain,jaime-castrillo
3663,Felix  Perez,1955.0,,,Spain,felix-perez
3664,Alain Van Hoornweder,1958.0,,,Belgium,alain-van-hoornweder
3665,Jacek  Mickiewicz,1970.0,74.0,172.0,Poland,jacek-mickiewicz
3666,Lander  Euba,1977.0,,,Spain,lander-euba-ziarrusta
3667,Maurice  Dury,1947.0,,,Belgium,maurice-dury
3668,Laurent  Paumier,1973.0,57.0,168.0,France,laurent-paumier
3669,Mihkel  Räim,1993.0,69.0,176.0,Estonia,mihkel-raim
3670,Frank Van De Vijver,1962.0,,,Belgium,frank-van-de-vijver
3671,Tim  Naberman,1999.0,70.0,187.0,Netherlands,tim-naberman
3672,Federico  García,1968.0,,,Spain,federico-garcia-melia
3673,Lorrenzo  Manzin,1994.0,69.0,175.0,France,lorrenzo-manzin
3674,Levi  Leipheimer,1973.0,62.0,170.0,United States,levi-leipheimer
3675,Tyler  Hamilton,1971.0,65.0,172.0,United States,tyler-hamilton
3676,Rubén  Fernández,1991.0,60.0,177.0,Spain,ruben-fernandez
3677,Christophe  Bassons,1974.0,74.0,186.0,France,christophe-bassons
3678,Juan  Argudo,1954.0,,,Spain,juan-argudo
3679,José Antonio  López,1976.0,,,Spain,jose-antonio-lopez
3680,Horst  Schutz,1951.0,,,Germany,horst-schutz
3681,Bernard  Labourdette,1946.0,,,France,bernard-labourdette
3682,Shane  Sutton,1957.0,,,Australia,shane-sutton
3683,Bob  Jungels,1992.0,70.0,189.0,Luxembourg,bob-jungels
3684,Hideto  Nakane,1990.0,55.0,170.0,Japan,hideto-nakane
3685,Martin  Earley,1962.0,62.0,173.0,Ireland,martin-earley
3686,Sascha  Urweider,1980.0,,,Switzerland,sascha-urweider
3687,Enrique  Mata,1985.0,72.0,183.0,Spain,enrique-mata-cabello
3688,Aaron  Olsen,1978.0,,,United States,aaron-olsen
3689,Merhawi  Kudus,1994.0,58.0,173.0,Eritrea,merhawi-kudus
3690,Paul  Ourselin,1994.0,70.0,185.0,France,paul-ourselin
3691,Jensen  Plowright,2000.0,78.0,177.0,Australia,jensen-plowright
3692,Julen  Amezqueta,1993.0,63.0,174.0,Spain,julen-amezqueta
3693,Jesús  Buendía,1982.0,,,Spain,romero-jesus-buendia
3694,Sergey  Kolesnikov,1986.0,,179.0,Russia,sergey-kolesnikov
3695,Claudio  Cucinotta,1982.0,71.0,177.0,Italy,claudio-cucinotta
3696,Paolo  Tiralongo,1977.0,63.0,178.0,Italy,paolo-tiralongo
3697,Rafaâ  Chtioui,1986.0,82.0,190.0,Tunisia,rafaa-chtioui
3698,Roberto  Poggiali,1941.0,,,Italy,roberto-poggiali
3699,Giorgio  Furlan,1966.0,,,Italy,giorgio-furlan
3700,Błażej  Janiaczyk,1983.0,68.0,177.0,Poland,blazej-janiaczyk
3701,Joaquin  Miguelañez,1970.0,,,Spain,joaquin-miguelanez
3702,Roustam  Toukhvatoulin,1969.0,,,Russia,rustam-tukhvatulin
3703,Elio  Festa,1960.0,,,Italy,elio-festa
3704,Alexandre  Ruas,1956.0,,,Portugal,alexandre-rua
3705,Garrett  Mcleod,1989.0,,,Canada,garrett-mcleod
3706,Alex  Tolio,2000.0,,,Italy,alex-tolio
3707,Alexandr  Kolobnev,1981.0,64.0,174.0,Russia,alexandr-kolobnev
3708,Jonas van Genechten,1986.0,67.0,176.0,Belgium,jonas-van-genechten
3709,Wilco  Zuijderwijk,1969.0,,,Netherlands,wilco-zuijderwijk
3710,Luca  Belluomini,1976.0,,,Italy,luca-belluomini
3711,Patrick  Verplancke,1962.0,,,Belgium,patrick-verplancke
3712,Pierre  Herinne,1968.0,,,Belgium,pierre-herinne
3713,Ondřej  Fadrný,1978.0,,,Czech Republic,ondrej-fadrny
3714,Sebastian  Kolze Changizi,2000.0,,181.0,Denmark,sebastian-kolze-changizi
3715,Jesper  Asselman,1990.0,69.0,184.0,Netherlands,jesper-asselman
3716,Joseph  Bruyère,1948.0,,,Belgium,joseph-bruyere
3717,Dario  Montani,1961.0,,,Italy,dario-montani
3718,Vladimir  Miholjević,1974.0,68.0,180.0,Croatia,vladimir-miholjevic
3719,Michele  Paletti,1967.0,,,Italy,michele-paletti
3720,Vadim  Kravchenko,1969.0,,178.0,Kazakhstan,vadim-kravchenko
3721,Riccardo  Faverio,1969.0,,,Italy,riccardo-faverio
3722,Javier  Moreno,1984.0,63.0,181.0,Spain,javier-moreno
3723,Nuno  Ribeiro,1977.0,59.0,170.0,Portugal,nuno-ribeiro
3724,Loïc Le Flohic,1959.0,,,France,loic-le-flohic
3725,Danilo  Wyss,1985.0,65.0,176.0,Switzerland,danilo-wyss
3726,Quinn  Simmons,2001.0,72.0,185.0,United States,quinn-simmons
3727,Vassili  Davidenko,1970.0,,,United States,vassili-davidenko
3728,Gianluca  Tonetti,1967.0,,,Italy,gianluca-tonetti
3729,Daniele  Del Ben,1962.0,,,Italy,daniele-del-ben
3730,Felice  Gimondi,1942.0,78.0,181.0,Italy,felice-gimondi
3731,Francesco  Reda,1982.0,70.0,179.0,Italy,francesco-reda
3732,Graziano  Gasparre,1978.0,60.0,174.0,Italy,graziano-gasparre
3733,Christian  Scaroni,1997.0,63.0,175.0,Italy,christian-scaroni
3734,Reuben  Thompson,2001.0,66.0,183.0,New Zealand,reuben-thompson
3735,Fridolin  Keller,1954.0,,,Switzerland,fridolin-keller
3736,Maarten den Bakker,1969.0,71.0,181.0,Netherlands,maarten-den-bakker
3737,Bert  Dietz,1969.0,69.0,174.0,Germany,bert-dietz
3738,Fabien De Vooght,1959.0,,,France,fabien-de-vooght
3739,Andrea  Pasqualon,1988.0,68.0,174.0,Italy,andrea-pasqualon
3740,Sam  Bennett,1990.0,73.0,178.0,Ireland,sam-bennett
3741,Luis Marques Santos,1966.0,,,Portugal,luis-santos
3742,Sébastien  Medan,1972.0,,,France,sebastien-medan
3743,Leandro  Navarrete,1977.0,,,Spain,leandro-navarrete
3744,Robert  Power,1995.0,68.0,184.0,Australia,robert-power
3745,Uwe  Raab,1962.0,,,Germany,uwe-raab
3746,Daniel  Diaz,1989.0,61.0,170.0,Argentina,daniel-diaz
3747,Oscar  Pellicioli,1965.0,,,Italy,oscar-pellicioli
3748,Zbigniew  Spruch,1965.0,68.0,178.0,Poland,zbigniew-spruch
3749,Xabier  Zandio,1977.0,73.0,184.0,Spain,xabier-zandio
3750,Alexandre  Usov,1977.0,63.0,176.0,Belarus,alexandre-usov
3751,Willy  Engelbrecht,1962.0,,,South Africa,willy-engelbrecht
3752,Jan  Ullrich,1973.0,73.0,183.0,Germany,jan-ullrich
3753,Juan José De Los Angeles,1973.0,63.0,171.0,Spain,juan-jose-de-los-angeles
3754,Francisco José  Ventoso,1982.0,75.0,180.0,Spain,fran-ventoso
3755,Vincenzo  Nibali,1984.0,65.0,181.0,Italy,vincenzo-nibali
3756,Marcel  Laurens,1952.0,,,Belgium,marcel-laurens
3757,Anatoliy  Pakhtusov,1985.0,,,Ukraine,anatoliy-pakhtusov
3758,Pedro  Delgado,1960.0,64.0,171.0,Spain,pedro-delgado
3759,Laurens ten Dam,1980.0,67.0,184.0,Netherlands,laurens-ten-dam
3760,William  Palacio,1965.0,,,Colombia,william-palacio
3761,Luc  Branckaerts,1962.0,,,Belgium,luc-branckaerts
3762,Alain Von Allmen,1961.0,,,Switzerland,alain-von-allmen
3763,Brandon Alejandro  Rojas,2002.0,64.0,178.0,Colombia,brandon-alejandro-rojas-vega
3764,Attilio  Benfatto,1943.0,,,Italy,attilio-benfatto
3765,Jasha  Sütterlin,1992.0,78.0,184.0,Germany,jasha-sutterlin
3766,Jesús Gabriel  Arguintxona,1962.0,,,Spain,jesus-gabriel-arguintxona-abarrategui
3767,Alessandro  Monaco,1998.0,,,Italy,alessandro-monaco
3768,Silvano  Contini,1958.0,,,Italy,silvano-contini
3769,Libardo  Niño,1968.0,,182.0,Colombia,libardo-nino-corredor
3770,Óscar  Sevilla,1976.0,62.0,175.0,Spain,oscar-sevilla
3771,Miguel Ángel  Benito,1993.0,67.0,181.0,Spain,miguel-angel-benito
3772,Neil  Stephens,1963.0,65.0,171.0,Australia,neil-stephens
3773,Raymond  Hernando,1954.0,,,France,raymond-hernando
3774,Ian  Boswell,1991.0,70.0,190.0,United States,ian-boswell
3775,Mursio  Ribas,1961.0,,,Spain,mursio-rivas
3776,Michele  Scotto d'Abusco,1983.0,,,Italy,michele-scotto-abusco
3777,Davy  DELME,1972.0,,,Belgium,davy-delme
3778,Christophe  Premont,1989.0,69.0,178.0,Belgium,christophe-premont
3779,Peter  Rogers,1974.0,,,Australia,peter-rogers
3780,Roberto  Bressan,1960.0,,,Italy,roberto-bressan
3781,Hipolito  Verdu,1963.0,,,Spain,hipolito-verdu
3782,Valentin  Iglinskiy,1984.0,68.0,178.0,Kazakhstan,valentin-iglinskiy
3783,Federico  Muñoz,1963.0,,,Colombia,federico-munoz
3784,Tsgabu  Grmay,1991.0,63.0,175.0,Ethiopia,tsgabu-gebremaryam-grmay
3785,Joseba  Zubeldia,1979.0,,,Spain,joseba-zubeldia
3786,Aleksandr  Kuschynski,1979.0,65.0,182.0,Belarus,aliaksandr-kuchynski
3787,Vivencio  Rubio,1957.0,,,Spain,vivencio-rubio
3788,Jos  Gysemans,1952.0,,,Belgium,jos-gysemans
3789,Simone  Zucchi,1971.0,,,Italy,simone-zucchi
3790,Blake  Caldwell,1984.0,,,United States,blake-caldwell
3791,Kevin  Kuhn,1998.0,69.0,174.0,Switzerland,kevin-kuhn
3792,Armand de Las Cuevas,1968.0,,,France,armand-de-las-cuevas
3793,Michel  Cornelisse,1965.0,,,Netherlands,michel-cornelisse
3794,Aivaras  Baranauskas,1980.0,,,Lithuania,aivaras-baranauskas
3795,Gerard  Vianen,1944.0,,,Netherlands,gerard-vianen
3796,Heinrich  Trumheller,1972.0,,,Germany,heinrich-trumheller
3797,Roque  Moyá,1953.0,,,Spain,roque-moya
3798,Mikel  Artetxe,1976.0,61.0,170.0,Spain,mikel-artetxe
3799,Nicolas  Fritsch,1978.0,65.0,182.0,France,nicolas-fritsch
3800,Wilfried  Peffgen,1942.0,67.0,173.0,Germany,wilfried-peffgen
3801,Frédéric  Gabriel,1970.0,60.0,176.0,France,frederic-gabriel
3802,Jean-Pierre  Parenteau,1944.0,68.0,173.0,France,jean-pierre-parenteau
3803,Rigoberto  Urán,1987.0,63.0,173.0,Colombia,rigoberto-uran
3804,Léo Van Thielen,1953.0,,,Belgium,leo-van-thielen
3805,Ivan  Balykin,1990.0,68.0,179.0,Russia,ivan-balykin
3806,Fuyu  Li,1978.0,,,China,fuyu-li
3807,Alexandr  Dyachenko,1983.0,65.0,179.0,Kazakhstan,alexandr-dyachenko
3808,Wim  Feys,1971.0,80.0,191.0,Belgium,wim-feys
3809,Riccardo  Chiarini,1984.0,70.0,184.0,Italy,riccardo-chiarini
3810,Peter Van Impe,1963.0,,,Belgium,peter-van-impe
3811,Erwann  Menthéour,1973.0,,,France,erwann-mentheour
3812,Ron  Kiefel,1960.0,,,United States,ron-kiefel
3813,Álvaro  Pino,1956.0,,,Spain,alvaro-pino
3814,Patrice  Bar,1967.0,,,Belgium,patrice-bar
3815,Nicolas  Reynaud,1977.0,,,France,nicolas-reynaud
3816,Asbjørn  Kragh Andersen,1992.0,72.0,182.0,Denmark,asbjorn-kragh-andersen
3817,Alexi  Grewal,1960.0,,,United States,alexi-grewal
3818,Marco  Bellini,1969.0,,,Italy,marco-bellini
3819,José Ramón  González,1967.0,,,Spain,ramon-gonzalez-arrieta
3820,Salvatore  Maccali,1955.0,,,Italy,salvatore-maccali
3821,Matthias  Friedemann,1984.0,75.0,183.0,Germany,matthias-friedemann
3822,Jason  McCartney,1973.0,70.0,183.0,United States,jason-mccartney
3823,Ángel  Vicioso,1977.0,60.0,170.0,Spain,angel-vicioso
3824,Marino  Lejarreta,1957.0,,,Spain,marino-lejarreta
3825,Michel  Nottebart,1971.0,,,Belgium,michel-nottebart-2
3826,Gianni  Vignaduzzi,1966.0,67.0,177.0,Canada,gianni-vignaduzzi
3827,Julián  Gorospe,1960.0,,,Spain,julian-gorospe
3828,Tony  Gallopin,1988.0,69.0,181.0,France,tony-gallopin
3829,Antonio  Molina,1991.0,57.0,169.0,Spain,antonio-molina
3830,Bernard  Becaas,1955.0,,,France,bernard-becaas
3831,Leonardo  Basso,1993.0,63.0,177.0,Italy,leonardo-basso
3832,Jacques  Janse van Rensburg,1987.0,63.0,175.0,South Africa,jacques-janse-van-rensburg
3833,Allan  Johansen,1971.0,78.0,188.0,Denmark,allan-johansen
3834,Dennis van Winden,1987.0,70.0,184.0,Netherlands,dennis-van-winden
3835,Brian Bach  Vandborg,1981.0,75.0,187.0,Denmark,brian-vandborg
3836,José Vicente  García Acosta,1972.0,76.0,186.0,Spain,jose-vicente-garcia-acosta
3837,Laurent  Didier,1984.0,68.0,189.0,Luxembourg,laurent-didier
3838,Steffen  Weigold,1979.0,,,Germany,steffen-weigold
3839,Rocco  Cattaneo,1958.0,,,Switzerland,rocco-cattaneo
3840,Nicola  Ramacciotti,1973.0,,,Italy,nicola-ramacciotti
3841,Milan  Dvorščík,1970.0,68.0,175.0,Slovakia,milan-dvorscik
3842,Marco  Pinotti,1976.0,67.0,176.0,Italy,marco-pinotti
3843,Abel  Balderstone,2000.0,61.0,180.0,Spain,abel-balderstone-roumens
3844,John  Tomac,1967.0,,,United States,john-tomac
3845,Johan  Louwet,1959.0,,,Belgium,johan-louwet
3846,Alexis  Vuillermoz,1988.0,60.0,173.0,France,alexis-vuillermoz
3847,Marco  Righetto,1980.0,,,Italy,marco-righetto
3848,Koldo  Fernández,1981.0,71.0,182.0,Spain,koldo-fernandez
3849,Ief  Verbrugghe,1975.0,69.0,188.0,Belgium,ief-verbrugghe
3850,Hector  Rondan,1953.0,,,Uruguay,hector-rondan
3851,Éric  Lalouette,1951.0,,,France,eric-lalouette
3852,Hans  Daams,1962.0,,,Netherlands,hans-daams
3853,Hubert Jacek  Krys,1983.0,,,Poland,hubert-krys
3854,Modesto  Urrutibeazkoa,1959.0,,,Spain,modesto-urrutibeazkoa
3855,Michael  Woods,1986.0,64.0,175.0,Canada,michael-woods
3856,Johnatan  Cañaveral,1996.0,,,Colombia,johnatan-canaveral
3857,Mikhaylo  Khalilov,1975.0,,,Ukraine,mikhaylo-khalilov
